x,y,z,labels
0.347458512,-9.870096207,0.350151986,still
-0.31573534,-9.815030098,0.59436059,still
0.172681794,-9.388861656,-0.775122821,still
0.172681794,-9.388861656,-0.775122821,still
0.179864407,-9.831789017,0.565630138,still
0.057760116,-9.747992516,1.07559514,still
0.266055673,-9.747992516,0.129885435,still
0.194229618,-9.841365814,0.390853435,still
-0.308552742,-9.680954933,0.29747957,still
0.249296248,-9.819818497,0.572812736,still
0.160710782,-9.740809441,0.398036033,still
0.160710782,-9.740809441,0.398036033,still
0.433649778,-9.645041466,0.091578215,still
1.206976891,-9.63067627,0.022146367,still
0.196623817,-10.174160004,-0.162207171,still
0.622791708,-9.673771858,-0.071227498,still
0.153528184,-9.781511307,-0.095169514,still
0.742501795,-9.736021042,0.295085371,still
0.337881714,-9.685743332,0.129885435,still
0.337881714,-9.685743332,0.129885435,still
0.421678782,-9.522936821,-0.116717331,still
0.421678782,-9.522936821,-0.116717331,still
0.737713397,-9.836577415,0.18495208,still
0.737713397,-9.836577415,0.18495208,still
0.213383228,-9.827000618,0.017357962,still
0.213383228,-9.827000618,0.017357962,still
0.289997667,-9.752780914,0.295085371,still
0.108038351,-9.759963036,0.14903906,still
0.081702136,-9.798270226,0.362123013,still
0.598849714,-9.745597839,-0.080804311,still
0.579696059,-9.716867447,0.156221658,still
0.579696059,-9.716867447,0.156221658,still
0.450409204,-9.5157547,-0.095169514,still
0.318728089,-9.206902504,-0.274734646,still
-0.155323833,-10.042478561,1.451484799,still
-0.155323833,-10.042478561,1.451484799,still
0.677858353,-9.85573101,0.37169981,still
0.677858353,-9.85573101,0.37169981,still
1.044171214,-9.642647743,-0.339378089,still
1.044171214,-9.642647743,-0.339378089,still
0.914884329,-9.647436142,-0.181360781,still
-0.205602065,-9.8054533,0.465073675,still
-0.205602065,-9.8054533,0.465073675,still
0.495899022,-9.716867447,0.450708479,still
0.495899022,-9.716867447,0.450708479,still
0.541388869,-9.755174637,0.046088383,still
0.541388869,-9.755174637,0.046088383,still
0.373794734,-9.8054533,-0.054468088,still
0.373794734,-9.8054533,-0.054468088,still
0.467168599,-9.750386238,0.161010072,still
0.483928025,-9.788693428,0.208894104,still
0.483928025,-9.788693428,0.208894104,still
0.555754066,-9.714473724,0.225653514,still
0.555754066,-9.714473724,0.225653514,still
0.397736758,-9.707290649,0.263960749,still
0.591667116,-9.506177902,0.206499889,still
0.591667116,-9.506177902,0.206499889,still
0.792780042,-10.071209908,0.275931746,still
0.792780042,-10.071209908,0.275931746,still
0.349852711,-9.666589737,-0.004189853,still
0.349852711,-9.666589737,-0.004189853,still
0.632368505,-9.736021042,-0.071227498,still
0.632368505,-9.736021042,-0.071227498,still
0.237325236,-9.803058624,-0.016160861,still
0.237325236,-9.803058624,-0.016160861,still
0.474351197,-9.762357712,0.122702837,still
0.474351197,-9.762357712,0.122702837,still
0.560542464,-9.783905029,0.024540568,still
0.603638113,-9.769539833,0.026934769,still
0.632368505,-9.707290649,0.139462247,still
0.596455514,-9.671378136,0.395641834,still
0.596455514,-9.671378136,0.395641834,still
0.35464114,-9.788693428,0.072424598,still
0.35464114,-9.788693428,0.072424598,still
0.483928025,-9.743204117,0.079607204,still
0.483928025,-9.743204117,0.079607204,still
0.493504822,-9.726444244,0.163404271,still
0.493504822,-9.726444244,0.163404271,walking
0.397736758,-9.786299706,0.16579847,walking
0.404919356,-9.649829865,0.146644861,walking
0.589272916,-9.628282547,0.053270988,walking
0.589272916,-9.628282547,0.053270988,walking
-0.198419467,-9.889249802,0.857722759,walking
-0.198419467,-9.889249802,0.857722759,walking
0.208594829,-9.999382973,2.387617588,walking
-0.459387451,-11.768698692,3.654150248,walking
1.58047235,-11.00255394,4.674080372,walking
2.964320898,-8.814253807,0.915183604,walking
1.494281173,-7.801506042,1.868075848,walking
0.244507849,-6.961141586,1.41078341,walking
0.244507849,-6.961141586,1.41078341,walking
2.36098218,-8.835801125,7.726687431,walking
2.36098218,-8.835801125,7.726687431,walking
1.125574112,-15.264232635,2.234388828,walking
4.245218754,-6.788758755,-0.688931525,walking
-2.836829662,-10.157401085,-0.813430011,walking
-2.068290949,-9.257181168,-0.645835936,walking
-1.271021843,-10.844536781,0.74519527,walking
-5.008370876,-15.175647736,-0.004189853,walking
-5.008370876,-15.175647736,-0.004189853,walking
-0.27982232,-13.923480034,-4.402338505,walking
-0.27982232,-13.923480034,-4.402338505,walking
3.96030879,-7.207744122,1.999756932,walking
3.96030879,-7.207744122,1.999756932,walking
0.759261191,-4.701014996,-2.412756681,walking
0.759261191,-4.701014996,-2.412756681,walking
3.220500469,-10.66975975,5.045181751,walking
4.338592529,-6.94677639,2.358887196,walking
-1.558326006,-12.242750168,-2.386420488,walking
-1.558326006,-12.242750168,-2.386420488,walking
0.838269889,-11.404779434,-5.285799026,walking
-0.102651395,-10.41836834,0.199317291,walking
-0.349254161,-10.602722168,0.785896719,walking
-0.349254161,-10.392032623,2.100313425,walking
-1.924638867,-11.150994301,-0.413598329,walking
-4.388272285,-14.895525932,-0.13108255,walking
-4.735431671,-13.767856598,3.103483915,walking
3.146280289,-17.423803329,-5.745485306,walking
3.146280289,-17.423803329,-5.745485306,walking
4.051288605,-6.166266441,-1.323395014,walking
4.051288605,-6.166266441,-1.323395014,walking
0.000299275,-5.069722176,-0.442328751,walking
0.000299275,-5.069722176,-0.442328751,walking
-0.31573534,-14.038401604,11.56938076,walking
-0.31573534,-14.038401604,11.56938076,walking
7.472602844,-9.43914032,-1.476623893,walking
-0.98611182,-10.171766281,-2.285864115,walking
-0.638952553,-8.763975143,-1.26353991,walking
-0.638952553,-9.369708061,-1.550844193,walking
-1.424250722,-9.671378136,-0.267552048,walking
0.225354239,-10.119093895,-0.614711285,walking
-1.359607339,-11.967416763,-1.380855799,walking
-2.753032684,-12.666523933,-1.52690208,walking
4.187757969,-12.795810699,-4.38079071,walking
4.187757969,-12.795810699,-4.38079071,walking
2.159869194,-7.602787495,-0.097563721,walking
2.159869194,-7.602787495,-0.097563721,walking
0.206200615,-4.262876034,-1.215655923,walking
0.206200615,-4.262876034,-1.215655923,walking
0.495899022,-10.135852814,9.017162323,walking
0.495899022,-10.135852814,9.017162323,walking
7.19487524,-11.505335808,-1.275510907,walking
2.614767551,-8.572439194,-2.190095901,walking
-1.050755262,-10.897209167,-5.94659853,walking
0.086490534,-10.370484352,-0.9307459,walking
-3.377919436,-9.283516884,1.468244195,walking
-3.377919436,-9.283516884,1.468244195,walking
-0.186448455,-10.245985985,-1.136647224,walking
-0.495300472,-9.5157547,-2.22600913,walking
