x,y,z,labels
1.769614339,-9.872490883,-0.404021531,still
1.769614339,-9.872490883,-0.404021531,still
1.017835021,-9.566033363,0.070030399,still
0.766443849,-9.798270226,-0.157418758,still
1.420060873,-9.769539833,0.007781155,still
1.795950532,-9.429563522,-1.055244446,still
3.194164276,-11.632228851,-0.581192434,still
0.469562799,-9.396044731,-0.849343061,still
1.513434768,-10.07360363,1.121084929,still
1.080084205,-9.774328232,0.161010072,still
2.303521395,-9.479841232,-0.569221437,still
1.886930227,-9.594763756,-0.655412734,still
1.47033906,-9.59236908,-0.478241801,still
1.47033906,-9.59236908,-0.478241801,still
1.106420517,-9.645041466,-0.15023616,still
1.156698704,-9.724050522,-0.008978256,still
1.156698704,-9.724050522,-0.008978256,still
1.609202862,-9.676166534,-0.159812957,still
1.609202862,-9.676166534,-0.159812957,still
1.798344731,-9.604340553,-0.303465068,still
1.798344731,-9.604340553,-0.303465068,still
1.709759235,-9.589975357,-0.305859268,still
1.776796937,-9.645041466,-0.269946247,still
1.501463771,-9.633070946,-0.332195491,still
1.530194163,-9.652224541,-0.08319851,still
1.530194163,-9.652224541,-0.08319851,still
1.475127578,-9.645041466,-0.214879602,still
1.475127578,-9.645041466,-0.214879602,still
1.681028843,-9.673771858,-0.135870948,still
1.681028843,-9.673771858,-0.135870948,still
1.637933254,-9.575610161,-0.327407092,still
1.637933254,-9.575610161,-0.327407092,still
1.69060564,-9.597157478,-0.171783969,still
1.523011565,-9.695320129,-0.13108255,still
1.161487103,-9.647436142,-0.243610024,still
1.590049148,-9.680954933,0.04129998,still
1.590049148,-9.680954933,0.04129998,still
1.637933254,-9.692925453,-0.05925649,still
1.463156462,-9.688137054,-0.210091203,still
1.551741958,-9.609128952,-0.33458969,still
1.403301477,-9.666589737,-0.152630359,still
1.403301477,-9.666589737,-0.152630359,still
1.590049148,-9.613917351,-0.267552048,still
1.65469265,-9.585186958,-0.10235212,still
1.65469265,-9.585186958,-0.10235212,still
1.604414463,-9.680954933,-0.04249708,still
1.604414463,-9.680954933,-0.04249708,still
1.410484076,-9.628282547,-0.420780957,still
1.410484076,-9.628282547,-0.420780957,still
1.513434768,-9.597157478,-0.20290859,still
1.190217495,-9.652224541,-0.344166487,still
1.87495923,-9.609128952,0.017357962,still
1.487098575,-9.637859344,-0.13108255,still
1.487098575,-9.637859344,-0.13108255,still
1.312321782,-9.599552155,-0.715267777,still
1.312321782,-9.599552155,-0.715267777,still
1.836651921,-9.647436142,-0.236427411,still
1.836651921,-9.647436142,-0.236427411,still
1.748066545,-9.640253067,-0.008978256,still
1.537376761,-9.678560257,-0.169389769,still
1.537376761,-9.678560257,-0.169389769,still
1.886930227,-9.664195061,-0.097563721,still
1.558924556,-9.628282547,-0.303465068,still
1.831863523,-9.582792282,-0.243610024,still
1.846228838,-9.58039856,-0.387262136,still
1.894112825,-9.546878815,-0.535702646,still
1.894112825,-9.546878815,-0.535702646,still
1.743278146,-9.637859344,-0.380079508,still
1.743278146,-9.637859344,-0.380079508,still
1.647510052,-9.582792282,-0.466270775,still
1.786373734,-9.601945877,-0.291494071,still
1.72891295,-9.58039856,-0.346560687,still
1.72891295,-9.58039856,-0.346560687,still
1.827075124,-9.542090416,-0.262763649,still
1.810315728,-9.575610161,-0.427963555,still
1.855805635,-9.573215485,-0.188543379,still
1.733701348,-9.625887871,-0.250792623,still
1.733701348,-9.625887871,-0.250792623,still
1.786373734,-9.604340553,-0.135870948,still
1.786373734,-9.604340553,-0.135870948,still
1.611597061,-9.628282547,-0.171783969,still
1.611597061,-9.628282547,-0.171783969,still
1.561318755,-9.63067627,-0.29867667,still
1.561318755,-9.63067627,-0.29867667,still
1.606808662,-9.657012939,-0.176572382,still
1.606808662,-9.657012939,-0.176572382,still
1.515828967,-9.709685326,0.017357962,still
1.515828967,-9.709685326,0.017357962,still
1.297956586,-9.666589737,-0.068833299,still
1.297956586,-9.666589737,-0.068833299,still
1.671452045,-9.589975357,0.026934769,jumping
1.230919003,-9.731232643,0.172981068,jumping
1.369782686,-9.551667213,0.670975029,jumping
1.870170832,-9.218873978,1.863287449,jumping
1.870170832,-9.218873978,1.863287449,jumping
1.910872221,-7.813477039,2.490568399,jumping
1.590049148,-6.853402138,0.546476543,jumping
1.590049148,-6.853402138,0.546476543,jumping
3.522170067,-25.506628036,-1.208473325,jumping
5.430348873,2.237381458,16.226102829,jumping
5.430348873,2.237381458,16.226102829,jumping
-0.710778654,-0.199915841,-5.46296978,jumping
-0.368407786,0.796072066,-1.665765882,jumping
-0.045190558,-0.762553215,8.39227581,jumping
5.18614006,-3.906140089,-1.297058821,jumping
1.149516106,-10.322600365,-2.513313293,jumping
2.171840191,-6.211756229,1.480215192,jumping
2.171840191,-6.211756229,1.480215192,jumping
1.479915977,-9.005789757,0.16579847,jumping
1.479915977,-9.005789757,0.16579847,jumping
2.746448517,-7.844601631,0.41000703,jumping
2.746448517,-7.844601631,0.41000703,jumping
-0.825700283,-10.468647003,0.129885435,jumping
-0.825700283,-10.468647003,0.129885435,jumping
2.339434385,-9.685743332,0.424372256,jumping
1.968333125,-9.652224541,-0.672172129,jumping
1.968333125,-9.652224541,-0.672172129,jumping
0.821510434,-9.769539833,-0.20530279,jumping
