x,y,z,labels
-0.342071563,-9.781511307,-0.37289691,still
-1.338059425,-9.604340553,-0.645835936,still
-1.338059425,-9.604340553,-0.645835936,still
-0.847248137,-9.807847023,-0.674566329,still
-0.670077205,-9.671378136,-0.504577994,still
-0.670077205,-9.671378136,-0.504577994,still
-0.897526383,-9.652224541,-0.162207171,still
-0.897526383,-9.652224541,-0.162207171,still
-1.074697256,-10.030508041,0.072424598,still
-1.074697256,-10.030508041,0.072424598,still
-0.971746624,-9.479841232,-0.284311444,still
0.100855745,-10.315418243,-1.660977483,still
0.100855745,-10.315418243,-1.660977483,still
-1.012448072,-9.556455612,-0.210091203,still
-1.012448072,-9.556455612,-0.210091203,still
-1.213560939,-9.85573101,-0.368108511,still
-1.328482628,-9.680954933,-0.96426475,still
-1.328482628,-9.680954933,-0.96426475,still
-0.746691644,-9.891644478,-0.969053149,still
-0.746691644,-9.891644478,-0.969053149,still
-0.842459738,-9.55406189,-0.195725992,still
-0.842459738,-9.55406189,-0.195725992,still
-0.705990255,-9.85573101,-0.471059173,still
-0.705990255,-9.85573101,-0.471059173,still
-0.904708982,-9.721655846,-0.538096845,still
-0.904708982,-9.721655846,-0.538096845,still
-0.83527714,-9.702502251,-0.394444734,still
-0.902314782,-9.678560257,-0.688931525,still
-0.902314782,-9.678560257,-0.688931525,still
-0.823306084,-9.774328232,-0.820612609,still
-0.931045175,-9.724050522,-0.504577994,still
-0.830488741,-9.747992516,-0.638653278,still
-0.830488741,-9.747992516,-0.638653278,still
-0.887949526,-9.728838921,-0.52133745,still
-0.887949526,-9.728838921,-0.52133745,still
-1.005265474,-9.645041466,-0.605134487,still
-1.005265474,-9.645041466,-0.605134487,still
-0.780210495,-9.431957245,-0.588375092,still
-0.780210495,-9.431957245,-0.588375092,still
-0.500088871,-9.85573101,-0.200514391,still
-0.500088871,-9.85573101,-0.200514391,still
-0.861613333,-9.41280365,-0.681748927,walking
3.900453806,-9.673771858,-3.923498154,walking
3.900453806,-9.673771858,-3.923498154,walking
-0.674865603,-12.065579414,-7.155670166,walking
-2.267009735,-12.783840179,-6.233902454,walking
-3.057096243,-9.783905029,2.665344954,walking
-3.057096243,-9.783905029,2.665344954,walking
1.080084205,-8.036137581,-0.293888271,walking
-0.078709379,-6.975506783,-2.38163209,walking
3.139097691,-11.230003357,-3.909132719,walking
-0.830488741,-7.691372871,2.351704597,walking
0.653916359,-10.131064415,4.171298027,walking
-1.824082375,-10.059238434,-0.037708677,walking
-1.230320454,-8.234856606,1.578377485,walking
-0.770633698,-9.977835655,2.385223389,walking
0.196623817,-13.980940819,-9.691129684,walking
0.196623817,-13.980940819,-9.691129684,walking
4.393659592,-8.184578896,2.931101322,walking
4.393659592,-8.184578896,2.931101322,walking
-0.964564025,-12.915520668,2.756324768,walking
3.914819002,-8.464699745,2.914341927,walking
-1.335665226,-7.418434143,3.12503171,walking
-11.855787277,-12.795810699,-22.342092514,walking
-11.855787277,-12.795810699,-22.342092514,walking
