x,y,z
-6.317998886,-7.449558735,2.210446835
-6.009147167,-7.46631813,1.652597666
-6.009147167,-7.46631813,1.652597666
-6.430526257,-7.46871233,1.465849996
-6.430526257,-7.46871233,1.465849996
-1.848024487,-1.545457244,0.807444513
-1.848024487,-1.545457244,0.807444513
8.643367767,-21.802797318,-6.741473198
8.643367767,-21.802797318,-6.741473198
4.075230598,-10.315418243,-0.937928498
-0.088286191,-12.190077782,1.925536752
0.606032312,-9.63067627,-0.076015905
0.950797379,-9.714473724,-1.045667648
0.950797379,-9.714473724,-1.045667648
0.728136599,-8.378508568,-1.00496614
0.728136599,-8.378508568,-1.00496614
1.769614339,-9.872490883,-0.404021531
1.769614339,-9.872490883,-0.404021531
1.017835021,-9.566033363,0.070030399
0.766443849,-9.798270226,-0.157418758
1.420060873,-9.769539833,0.007781155
1.795950532,-9.429563522,-1.055244446
3.194164276,-11.632228851,-0.581192434
0.469562799,-9.396044731,-0.849343061
1.513434768,-10.07360363,1.121084929
1.080084205,-9.774328232,0.161010072
2.303521395,-9.479841232,-0.569221437
1.886930227,-9.594763756,-0.655412734
1.47033906,-9.59236908,-0.478241801
1.47033906,-9.59236908,-0.478241801
1.106420517,-9.645041466,-0.15023616
1.156698704,-9.724050522,-0.008978256
1.156698704,-9.724050522,-0.008978256
1.609202862,-9.676166534,-0.159812957
1.609202862,-9.676166534,-0.159812957
1.798344731,-9.604340553,-0.303465068
1.798344731,-9.604340553,-0.303465068
1.709759235,-9.589975357,-0.305859268
1.776796937,-9.645041466,-0.269946247
1.501463771,-9.633070946,-0.332195491
1.530194163,-9.652224541,-0.08319851
1.530194163,-9.652224541,-0.08319851
1.475127578,-9.645041466,-0.214879602
1.475127578,-9.645041466,-0.214879602
1.681028843,-9.673771858,-0.135870948
1.681028843,-9.673771858,-0.135870948
1.637933254,-9.575610161,-0.327407092
1.637933254,-9.575610161,-0.327407092
1.69060564,-9.597157478,-0.171783969
1.523011565,-9.695320129,-0.13108255
1.161487103,-9.647436142,-0.243610024
1.590049148,-9.680954933,0.04129998
1.590049148,-9.680954933,0.04129998
1.637933254,-9.692925453,-0.05925649
1.463156462,-9.688137054,-0.210091203
1.551741958,-9.609128952,-0.33458969
1.403301477,-9.666589737,-0.152630359
1.403301477,-9.666589737,-0.152630359
1.590049148,-9.613917351,-0.267552048
