x,y,z
7.328950882,-4.782417774,3.888782024
7.721599579,-5.266046524,3.651756048
7.403171062,-4.667496204,3.237559319
7.33613348,-4.20062685,3.249530315
9.476549149,-4.272452831,0.419583857
6.337751389,-6.657077789,1.74836576
7.398382664,-6.115988255,2.758718967
8.171710014,-6.161478043,4.820126534
7.738358974,-6.76721096,4.027645588
7.738358974,-6.76721096,4.027645588
5.708076,-6.781576157,2.904765129
5.708076,-6.781576157,2.904765129
6.177339554,-6.161478043,4.156932831
6.177339554,-6.161478043,4.156932831
6.086359978,-6.197391033,4.037222385
6.086359978,-6.197391033,4.037222385
6.744765282,-6.372167587,3.797802448
6.275501728,-6.329071999,3.479373693
6.672939301,-6.082469463,3.476979494
6.672939301,-6.082469463,3.476979494
6.519710541,-6.295553207,3.687669277
6.519710541,-6.295553207,3.687669277
6.601113319,-6.120776653,3.642179251
6.754342079,-6.149507046,3.594295263
6.723217487,-6.111199856,3.623025656
6.723217487,-6.111199856,3.623025656
6.694487095,-6.092046261,3.539228678
6.694487095,-6.092046261,3.539228678
6.797437668,-6.161478043,3.42430687
6.704063892,-6.010643482,3.467402697
6.500556946,-5.658695698,3.34769249
4.269160748,-4.028244495,1.923142552
2.959532499,-6.331466198,-3.236362219
1.961150408,-9.388861656,1.975814939
0.905307531,-7.246051311,-1.59872818
-1.685218692,-9.470264435,-2.64020586
-1.709160686,-9.700108528,-0.329801291
-1.709160686,-9.700108528,-0.329801291
-0.366013587,-9.513360023,-1.062427044
-0.366013587,-9.513360023,-1.062427044
-1.488894224,-10.181343079,-1.67294848
-1.488894224,-10.181343079,-1.67294848
-0.885555327,-9.33618927,-0.897227108
-0.775422096,-9.84376049,-0.887650251
-0.775422096,-9.84376049,-0.887650251
-1.115398765,-9.989806175,-1.141435623
-1.115398765,-9.989806175,-1.141435623
-1.108216166,-9.783905029,-0.638653278
-1.055543661,-9.673771858,-0.693719923
-0.342071563,-9.781511307,-0.37289691
-0.342071563,-9.781511307,-0.37289691
-1.338059425,-9.604340553,-0.645835936
-1.338059425,-9.604340553,-0.645835936
-0.847248137,-9.807847023,-0.674566329
-0.670077205,-9.671378136,-0.504577994
-0.670077205,-9.671378136,-0.504577994
-0.897526383,-9.652224541,-0.162207171
-0.897526383,-9.652224541,-0.162207171
-1.074697256,-10.030508041,0.072424598
-1.074697256,-10.030508041,0.072424598
-0.971746624,-9.479841232,-0.284311444
0.100855745,-10.315418243,-1.660977483
0.100855745,-10.315418243,-1.660977483
-1.012448072,-9.556455612,-0.210091203
-1.012448072,-9.556455612,-0.210091203
-1.213560939,-9.85573101,-0.368108511
-1.328482628,-9.680954933,-0.96426475
-1.328482628,-9.680954933,-0.96426475
-0.746691644,-9.891644478,-0.969053149
-0.746691644,-9.891644478,-0.969053149
-0.842459738,-9.55406189,-0.195725992
-0.842459738,-9.55406189,-0.195725992
-0.705990255,-9.85573101,-0.471059173
-0.705990255,-9.85573101,-0.471059173
-0.904708982,-9.721655846,-0.538096845
-0.904708982,-9.721655846,-0.538096845
-0.83527714,-9.702502251,-0.394444734
-0.902314782,-9.678560257,-0.688931525
-0.902314782,-9.678560257,-0.688931525
-0.823306084,-9.774328232,-0.820612609
-0.931045175,-9.724050522,-0.504577994
-0.830488741,-9.747992516,-0.638653278
-0.830488741,-9.747992516,-0.638653278
-0.887949526,-9.728838921,-0.52133745
-0.887949526,-9.728838921,-0.52133745
-1.005265474,-9.645041466,-0.605134487
-1.005265474,-9.645041466,-0.605134487
-0.780210495,-9.431957245,-0.588375092
-0.780210495,-9.431957245,-0.588375092
-0.500088871,-9.85573101,-0.200514391
-0.500088871,-9.85573101,-0.200514391
-0.861613333,-9.41280365,-0.681748927
3.900453806,-9.673771858,-3.923498154
3.900453806,-9.673771858,-3.923498154
-0.674865603,-12.065579414,-7.155670166
-2.267009735,-12.783840179,-6.233902454
-3.057096243,-9.783905029,2.665344954
-3.057096243,-9.783905029,2.665344954
1.080084205,-8.036137581,-0.293888271
-0.078709379,-6.975506783,-2.38163209
3.139097691,-11.230003357,-3.909132719
-0.830488741,-7.691372871,2.351704597
0.653916359,-10.131064415,4.171298027
-1.824082375,-10.059238434,-0.037708677
-1.230320454,-8.234856606,1.578377485
-0.770633698,-9.977835655,2.385223389
0.196623817,-13.980940819,-9.691129684
0.196623817,-13.980940819,-9.691129684
4.393659592,-8.184578896,2.931101322
4.393659592,-8.184578896,2.931101322
-0.964564025,-12.915520668,2.756324768
3.914819002,-8.464699745,2.914341927
-1.335665226,-7.418434143,3.12503171
-11.855787277,-12.795810699,-22.342092514
-11.855787277,-12.795810699,-22.342092514
-3.904643774,-12.099098206,2.569576979
-2.504035711,-7.993042469,2.160168409
-3.442562819,-11.316194534,3.340509892
-2.674024105,-7.736862659,1.200093627
-2.113780737,-8.653841972,1.29825592
-2.113780737,-8.653841972,1.29825592
-0.892737985,-13.262680054,-0.214879602
2.691381931,-12.027272224,-1.4502877
2.691381931,-12.027272224,-1.4502877
2.607584953,-10.451887131,0.465073675
-2.6931777,-11.498153687,-2.984971046
-2.6931777,-11.498153687,-2.984971046
-0.629375756,-4.305971622,1.753154159
-0.629375756,-4.305971622,1.753154159
-2.681206703,-6.795941353,1.925536752
-2.681206703,-6.795941353,1.925536752
1.166275501,-10.068815231,-4.045602322
1.166275501,-10.068815231,-4.045602322
-3.404255629,-10.84932518,-2.209249735
0.05057751,-8.184578896,3.450643301
-0.014065935,-8.139088631,0.888847411
-0.191236854,-8.107964516,-0.346560687
-1.225531936,-10.059238434,1.602319479
1.436820269,-11.459846497,-1.854907751
1.436820269,-11.459846497,-1.854907751
3.268384695,-16.413450241,-0.329801291
-1.086668253,-12.139800072,3.845686436
3.816656828,-12.721590996,-0.236427411
3.816656828,-12.721590996,-0.236427411
-3.497629404,-8.965087891,1.652597666
3.134309292,-11.435904503,1.621473074
2.633921146,-9.759963036,1.937507749
6.739976883,-13.083115578,-3.121440411
-1.560720205,-12.158953667,-0.526125848
-1.199195743,-10.988188744,2.569576979
-2.295740128,-6.446388245,0.735618472
-2.295740128,-6.446388245,0.735618472
0.536600471,-19.279308319,-17.228076935
0.536600471,-19.279308319,-17.228076935
-6.849511623,-11.050437927,3.986944437
-6.849511623,-11.050437927,3.986944437
-3.114557028,-5.859808445,0.144250646
-2.044348955,-10.370484352,-5.587468147
-2.044348955,-10.370484352,-5.587468147
3.36415267,-10.839748383,0.44592008
3.613149643,-11.883620262,-0.231639013
3.9220016,-11.038467407,-1.184531331
0.122403562,-13.772644997,2.464232206
-0.964564025,-8.344989777,-1.799841166
-0.971746624,-4.657919407,1.769913554
-2.398690939,-7.77277565,-0.013766659
-2.398690939,-7.77277565,-0.013766659
-4.864718437,-9.668983459,-1.256357312
0.246902049,-9.022548676,3.769072056
1.051353812,-10.04726696,1.245583415
0.658704758,-9.989806175,-0.641047478
