x,y,z
8.001721382,-4.787206173,3.237559319
7.922712803,-5.005078793,2.619855165
7.922712803,-4.990713596,2.744353771
8.873210907,-4.554968834,1.468244195
7.56597662,-5.000290394,1.741183162
8.040028572,-4.923676014,1.140238523
4.652233124,-5.20619154,0.108337626
4.652233124,-5.20619154,0.108337626
0.972345173,-6.364984989,-3.382408381
3.871723413,-5.3570261,-0.0664391
3.871723413,-5.3570261,-0.0664391
7.324162483,-22.377407074,1.432331204
-1.565508604,-9.467870712,1.456273198
-2.5471313,-9.345766068,0.017357962
-0.404320806,-9.85573101,-0.435146153
-0.404320806,-9.85573101,-0.435146153
-0.267851323,-9.709685326,0.247201324
-0.342071563,-9.740809441,-0.650624335
-0.83527714,-9.824606895,0.163404271
-0.069132574,-9.941922188,-0.114323132
-0.069132574,-9.941922188,-0.114323132
-0.416291833,-9.975440979,-0.20530279
-0.823306084,-9.774328232,-0.52133745
-0.823306084,-9.774328232,-0.52133745
-0.684442401,-9.759963036,-0.241215825
-0.349254161,-9.8054533,-0.377685308
0.026635494,-9.793481827,-0.016160861
-0.741903245,-9.666589737,-0.384867936
-0.504877269,-9.752780914,-0.365714312
-0.356436789,-9.783905029,-0.396838933
-0.775422096,-9.877279282,-0.114323132
-0.775422096,-9.877279282,-0.114323132
-0.588674366,-9.776722908,0.177769482
-0.528819323,-9.980229378,-0.564433038
-0.528819323,-9.980229378,-0.564433038
-0.741903245,-9.793481827,-0.538096845
-0.741903245,-9.798270226,0.292691171
-0.401926607,-9.798270226,0.292691171
-0.619798958,-9.673771858,-0.231639013
-0.559943914,-9.645041466,0.316633165
-0.473752648,-10.104728699,-0.157418758
-0.473752648,-10.104728699,-0.157418758
-0.595856965,-9.654618263,-0.023343466
-0.701201797,-9.719262123,0.304662168
-0.811335087,-9.812635422,-0.099957921
-0.342071563,-9.8940382,0.220865101
-0.342071563,-9.8940382,0.220865101
-0.385167211,-9.597157478,-0.064044893
-0.42826283,-9.867702484,0.105943426
-0.61501056,-9.906009674,0.137068048
-0.227149889,-9.84376049,0.08200141
-0.31573534,-9.819818497,0.180163682
-0.207996279,-9.724050522,0.228047714
-0.150535434,-9.812635422,-0.14784196
-0.332494766,-9.786299706,0.079607204
-0.337283164,-9.812635422,0.026934769
-0.337283164,-9.812635422,0.026934769
-0.239120901,-9.755174637,0.172981068
-0.27742812,-9.779116631,0.091578215
-0.251091897,-9.776722908,0.14903906
-0.361225188,-9.774328232,0.04129998
-0.121805012,-9.762357712,0.180163682
-0.318129539,-9.769539833,0.038905777
-0.196025267,-9.759963036,0.019752163
-0.401926607,-9.759963036,0.019752163
-0.203207865,-9.798270226,0.196923092
-0.327706367,-9.793481827,0.117914431
-0.162506446,-9.771934509,0.077213004
-0.162506446,-9.771934509,0.077213004
-0.162506446,-9.771934509,0.108337626
-0.260668725,-9.771934509,0.108337626
-0.255880296,-9.769539833,0.175375268
-0.22236149,-9.767146111,0.074818805
-0.203207865,-9.791088104,0.110731825
-0.231938288,-9.767146111,0.108337626
-0.337283164,-9.774328232,0.062847793
-0.337283164,-9.774328232,0.062847793
-0.320523739,-9.771934509,0.079607204
-0.236726686,-9.795876503,0.091578215
-0.284610718,-9.738415718,0.117914431
-0.200813666,-9.803058624,0.072424598
-0.200813666,-9.803058624,0.072424598
-0.291793346,-9.769539833,0.115520231
-0.320523739,-9.774328232,0.127491236
-0.207996279,-9.781511307,0.105943426
-0.207996279,-9.781511307,0.105943426
-0.421080232,-9.788693428,0.02932897
-0.35404259,-9.745597839,-0.006584055
-0.332494766,-9.793481827,0.024540568
-0.155323833,-9.827000618,0.048482586
-0.155323833,-9.827000618,0.048482586
-0.239120901,-9.747992516,0.127491236
-0.239120901,-9.747992516,0.105943426
-0.069132574,-9.793481827,0.211288303
-0.00688333,-9.771934509,0.273537546
-0.078709379,-9.834183693,0.213682503
-0.045190558,-9.714473724,0.302267969
-0.023642741,-9.714473724,0.302267969
-0.016460137,-9.779116631,0.194528893
-0.12898761,-9.716867447,0.357334614
-0.155323833,-9.769539833,0.534505546
-0.160112232,-9.757569313,0.477044702
0.07451953,-9.695320129,0.747589469
0.07451953,-9.695320129,0.747589469
0.177470207,-9.637859344,0.723647475
-0.212784678,-9.724050522,1.018134236
-0.318129539,-9.776722908,0.860116959
0.919672728,-9.755174637,0.977432847
0.072125323,-9.616311073,1.875258446
-0.069132574,-9.810241699,1.59753108
0.665887356,-9.838972092,0.606331587
0.318728089,-9.745597839,1.714846969
-0.081103586,-9.721655846,1.33656311
-0.081103586,-9.721655846,1.33656311
0.000299275,-9.719262123,1.240795016
-0.052373163,-9.812635422,0.864905357
-0.294187546,-9.685743332,1.367687702
-0.294187546,-9.685743332,1.367687702
-0.655712008,-9.704896927,0.654215634
-0.2415151,-9.673771858,1.092354536
-0.042796355,-9.704896927,1.197699428
-0.042796355,-9.704896927,1.197699428
-0.500088871,-9.733627319,0.036511578
-0.212784678,-9.673771858,0.800261915
-0.473752648,-9.848548889,-0.061650693
-0.473752648,-9.848548889,-0.061650693
-0.521636724,-9.676166534,0.105943426
-1.182436347,-9.81742382,-0.267552048
-0.931045175,-9.889249802,-0.001795651
-0.931045175,-9.889249802,-0.001795651
-0.595856965,-9.530119896,-0.858919859
-0.902314782,-9.807847023,-0.997783542
-0.902314782,-9.807847023,-0.997783542
-0.574309111,-9.97065258,-1.182137132
-0.461781651,-9.781511307,-1.033696532
-0.892737985,-9.673771858,-0.844554663
-1.309329033,-9.388861656,-1.467047095
-1.309329033,-9.388861656,-1.467047095
-0.318129539,-9.604340553,-1.170166135
-0.586280167,-9.599552155,-1.457470298
-0.586280167,-9.599552155,-1.457470298
-0.380378783,-9.685743332,-1.352125406
-0.298975945,-9.721655846,-1.629852772
-0.603039563,-9.563638687,-1.086369038
-0.995688617,-9.719262123,-1.364096403
-0.995688617,-9.719262123,-1.364096403
-0.468964249,-9.853337288,-1.546055794
-0.531213522,-9.654618263,-1.22523272
-0.591068566,-9.635464668,-1.237203717
-0.461781651,-9.680954933,-1.093551636
-0.583885968,-9.752780914,-1.423951507
-0.447416455,-9.731232643,-1.323395014
-0.569520712,-9.671378136,-1.230021119
-0.516848266,-9.652224541,-1.251568913
-0.447416455,-9.707290649,-1.304241419
-0.387561411,-9.628282547,-1.287482023
-0.42586863,-9.683348656,-1.404797792
-0.406715006,-9.673771858,-1.419163108
-0.339677364,-9.587580681,-1.368884802
-0.332494766,-9.680954933,-1.385644197
-0.440233827,-9.716867447,-1.469441295
-0.440233827,-9.716867447,-1.469441295
-0.490512073,-9.673771858,-1.371279001
-0.291793346,-9.683348656,-1.455076098
-0.291793346,-9.683348656,-1.455076098
-0.394744009,-9.695320129,-1.457470298
-0.387561411,-9.657012939,-1.457470298
-0.42586863,-9.680954933,-1.400009394
-0.370801985,-9.599552155,-1.304241419
-0.342071563,-9.716867447,-1.4502877
-0.35404259,-9.625887871,-1.440710902
-0.35404259,-9.625887871,-1.440710902
-0.31573534,-9.676166534,-1.419163108
-0.22475569,-9.649829865,-1.467047095
-0.334888965,-9.666589737,-1.438316703
-0.366013587,-9.700108528,-1.464652896
-0.366013587,-9.700108528,-1.464652896
-0.366013587,-9.700108528,-1.464652896
-0.344465762,-9.642647743,-1.419163108
-0.332494766,-9.671378136,-1.431134105
-0.373196185,-9.640253067,-1.459864497
-0.301370144,-9.664195061,-1.4502877
-0.282216519,-9.640253067,-1.435922503
-0.377984583,-9.652224541,-1.469441295
-0.377984583,-9.652224541,-1.469441295
-0.124199212,-9.61870575,-1.467047095
-0.124199212,-9.61870575,-1.467047095
-0.243909299,-9.685743332,-1.479018092
-0.27982232,-9.63067627,-1.373673201
-0.27982232,-9.63067627,-1.373673201
-0.272639722,-9.671378136,-1.440710902
-0.310946941,-9.664195061,-1.433528304
-0.291793346,-9.657012939,-1.421557307
-0.248697698,-9.645041466,-1.404797792
-0.263062924,-9.640253067,-1.383249998
-0.239120901,-9.702502251,-1.495777488
-0.289399117,-9.676166534,-1.464652896
-0.239120901,-9.661801338,-1.440710902
-0.310946941,-9.664195061,-1.383249998
-0.35404259,-9.661801338,-1.471835494
-0.35404259,-9.661801338,-1.471835494
-0.35404259,-9.661801338,-1.471835494
-0.239120901,-9.647436142,-1.481412292
-0.258274496,-9.659406662,-1.443105102
-0.289399117,-9.647436142,-1.471835494
-0.205602065,-9.678560257,-1.514931083
-0.255880296,-9.668983459,-1.529296279
-0.255880296,-9.668983459,-1.529296279
-0.272639722,-9.666589737,-1.490989089
-0.272639722,-9.666589737,-1.490989089
-0.22475569,-9.652224541,-1.505354285
-0.301370144,-9.692925453,-1.546055794
-0.272639722,-9.685743332,-1.476623893
-0.287004918,-9.640253067,-1.371279001
-0.327706367,-9.628282547,-1.52690208
-0.196025267,-9.613917351,-1.541267395
-0.196025267,-9.613917351,-1.541267395
-0.27742812,-9.712079048,-1.543661594
-0.27742812,-9.712079048,-1.543661594
-0.358830988,-9.700108528,-1.605910778
-0.045190558,-9.683348656,-1.581968784
-0.227149889,-9.642647743,-1.644217968
-0.227149889,-9.642647743,-1.644217968
-0.105045602,-9.594763756,-1.689707875
-0.480935276,-9.666589737,-1.531690478
-0.480935276,-9.666589737,-1.531690478
-0.236726686,-9.55406189,-1.658583283
-0.540790319,-9.633070946,-1.514931083
-0.334888965,-9.659406662,-1.692102075
-0.22475569,-9.594763756,-1.514931083
-0.22475569,-9.594763756,-1.514931083
-0.586280167,-9.793481827,-1.469441295
-0.586280167,-9.671378136,-1.682525277
-0.076315179,-9.671378136,-1.682525277
-0.272639722,-9.408015251,-1.507748485
-0.528819323,-9.45111084,-1.675342679
-0.57670331,-9.534908295,-1.574786186
-0.57670331,-9.534908295,-1.574786186
-0.586280167,-9.542090416,-1.699284673
-0.737114847,-9.635464668,-1.842936754
-0.397138208,-9.532513618,-1.036090732
-0.397138208,-9.532513618,-1.036090732
-0.31573534,-9.563638687,-1.512536883
-0.50248307,-9.666589737,-1.29945302
-0.356436789,-9.963470459,-1.586757183
-0.356436789,-9.963470459,-1.586757183
-0.931045175,-9.645041466,-1.000177741
-0.31573534,-9.63067627,-1.055244446
-0.296581745,-9.755174637,-0.660201132
-0.296581745,-9.755174637,-0.660201132
-0.198419467,-9.731232643,-0.813430011
-0.801758289,-9.867702484,-0.499789596
